id_productos;nombre_producto;tipo;precio;vegano
230;Flat White;bebida;1,2;sí
231;Sandwich de pollo;comida;22,5;no
232;Ensalada fresca;comida;4,8;sí
233;Jugo de naranja natural;bebida;5,5;sí
234;Ensalada fresca;comida;18,5;sí
235;V60;bebida;10;sí
236;Sandwich vegetariano;comida;3,4;sí
237;Muffin de arándanos;postre;24,5;no
238;Sandwich vegetariano;comida;13;sí
239;Galleta de avena;postre;15,5;no
240;Jugo de naranja natural;bebida;3;no
241;Smoothie de frutos rojos;bebida;9,5;no
242;Alfajor;postre;6,6;no
243;Matcha Latte;bebida;9;no
244;Wrap de falafel;comida;6;sí
245;Brownie;postre;4,8;no
246;Ensalada fresca;comida;19;sí
247;Galleta de avena;postre;20;sí
248;Bagel con salmón;comida;22,5;no
249;Jugo de naranja natural;bebida;6;sí
250;Pastel de chocolate;postre;7,2;no
251;Pastel de chocolate;postre;19;no
252;Chocolate caliente;bebida;9;no
253;Sandwich de pollo;comida;3,6;no
254;Jugo de naranja natural;bebida;7,5;no
255;Sandwich de pollo;comida;18,5;no
256;Moka Italiana;bebida;8;sí
257;Muffin de arándanos;postre;7,4;no
258;Wrap de falafel;comida;3,4;sí
259;V60;bebida;5;no
260;Sandwich de pollo;comida;22,5;no
261;Ensalada fresca;comida;16,5;sí
262;Latte;bebida;1,8;no
263;Pastel de chocolate;postre;3;no
264;Brownie;postre;23,5;sí
265;Tostada con palta;comida;23,5;sí
266;Smoothie de frutos rojos;bebida;1,7;sí
267;Smoothie de frutos rojos;bebida;7;sí
268;Wrap de falafel;comida;17;sí
269;Pastel de chocolate;postre;21;no
270;Churros con chocolate;postre;6,4;no
271;Wrap de falafel;comida;23,5;sí
272;Muffin de arándanos;postre;3,4;sí
273;Matcha Latte;bebida;1,7;sí
274;Churros con chocolate;postre;5;no
275;Cold Brew;bebida;2,7;sí
276;Quiche de espinaca;comida;13,5;no
277;Aeropress;bebida;2,5;no
278;Brownie;postre;16,5;no
279;Wrap de falafel;comida;11;sí
280;Sandwich vegetariano;comida;12;sí
281;Bagel con salmón;comida;11,5;no
282;Croissant;postre;16,5;sí
283;Flat White;bebida;9,5;sí
284;Prensa Francesa;bebida;8,5;sí
285;Bagel con salmón;comida;3,3;no
286;Muffin de arándanos;postre;5,7;sí
287;Churros con chocolate;postre;4,2;no
288;Cold Brew;bebida;6;sí
289;Tostada con palta;comida;23;sí
290;Té verde;bebida;8;sí
291;Alfajor;postre;5,8;sí
292;Muffin de arándanos;postre;15;sí
293;Quiche de espinaca;comida;15;no
294;Té verde;bebida;6;sí
295;Ensalada fresca;comida;19,5;sí
296;Espresso;bebida;6,5;sí
297;V60;bebida;10;sí
298;Quiche de espinaca;comida;4,9;sí
299;Croissant;postre;6,4;no
300;Brownie;postre;19;no
301;Cheesecake;postre;24;sí
302;Jugo de naranja natural;bebida;9,5;no
303;Galleta de avena;postre;22,5;no
304;Latte;bebida;9;no
305;Moka Italiana;bebida;7;no
306;V60;bebida;2,5;sí
307;Pastel de chocolate;postre;17,5;no
308;Sandwich vegetariano;comida;11;sí
309;Limonada con hierbabuena;bebida;2,2;sí
310;Frappé de café;bebida;7,5;no
311;Churros con chocolate;postre;22,5;no
312;Chocolate caliente;bebida;2,2;no
313;Smoothie de frutos rojos;bebida;7;sí
314;Brownie;postre;22;no
315;Iced Latte;bebida;7,5;sí
316;Ensalada fresca;comida;12,5;sí
317;Cold Brew;bebida;6,5;no
318;Frappé de café;bebida;1,7;no
319;V60;bebida;8,5;no
320;Latte;bebida;9,5;sí
321;Cold Brew;bebida;1,1;no
322;Churros con chocolate;postre;19,5;no
323;Tarta de manzana;postre;20;sí
324;Sandwich vegetariano;comida;16,5;sí
325;Bagel con salmón;comida;12,5;no
326;Alfajor;postre;23,5;no
327;Sandwich vegetariano;comida;22,5;sí
328;Cheesecake;postre;5,1;sí
329;Tarta de manzana;postre;4,4;no
330;Muffin de arándanos;postre;20;no
331;Ensalada fresca;comida;12,5;sí
332;Pastel de chocolate;postre;20,5;no
333;Churros con chocolate;postre;19,5;no
334;Pastel de chocolate;postre;17,5;no
335;Churros con chocolate;postre;18,5;no
336;Churros con chocolate;postre;19,5;no
337;Croissant;postre;19,5;sí
338;Wrap de falafel;comida;22,5;sí
339;Galleta de avena;postre;18,5;sí
340;Pastel de chocolate;postre;18,5;no
341;Frappé de café;bebida;2,5;sí
342;Alfajor;postre;23;sí
343;Ensalada fresca;comida;19,5;sí
344;Galleta de avena;postre;19;no
345;Tostada con palta;comida;17;sí
346;Alfajor;postre;20,5;sí
347;Prensa Francesa;bebida;7,5;no
348;Frappé de café;bebida;6;sí
349;Americano;bebida;9,5;sí
350;Sandwich vegetariano;comida;5,1;sí
351;Sandwich de pollo;comida;23;no
352;Muffin de arándanos;postre;19,5;sí
353;Tarta de manzana;postre;19,5;sí
354;Tostada con palta;comida;6;sí
355;Americano;bebida;6,5;sí
356;Muffin de arándanos;postre;22;sí
357;Espresso;bebida;9;no
358;V60;bebida;10;no
359;Americano;bebida;8;no
360;Ensalada fresca;comida;11,5;sí
361;Tarta de manzana;postre;17;sí
362;Wrap de falafel;comida;24,5;sí
363;Sandwich vegetariano;comida;24,5;sí
364;Muffin de arándanos;postre;6,8;sí
365;Iced Latte;bebida;5,5;sí
366;Croissant;postre;4,5;no
367;Tarta de manzana;postre;22,5;no
368;Té negro;bebida;9,5;no
369;Prensa Francesa;bebida;2,5;no
370;Croissant;postre;21,5;sí
371;Mocha;bebida;5,5;no
372;Tarta de manzana;postre;3,4;sí
373;Latte;bebida;7;no
374;Jugo de naranja natural;bebida;3;no
375;Cheesecake;postre;19;no
376;Jugo de naranja natural;bebida;8;sí
377;Ensalada fresca;comida;20,5;sí
378;Muffin de arándanos;postre;23;sí
379;Sandwich vegetariano;comida;13;sí
380;Muffin de arándanos;postre;23;sí
381;Croissant;postre;18,5;sí
382;Bagel con salmón;comida;16,5;no
383;Brownie;postre;22,5;sí
384;Galleta de avena;postre;21;no
385;Pastel de chocolate;postre;21,5;no
386;Wrap de falafel;comida;25;sí
387;Sandwich vegetariano;comida;6,1;sí
388;Pastel de chocolate;postre;7,2;no
389;Cheesecake;postre;19,5;no
390;Wrap de falafel;comida;22,5;sí
391;Wrap de falafel;comida;12,5;sí
392;Americano;bebida;7;sí
393;Flat White;bebida;1,2;no
394;Galleta de avena;postre;3,6;no
395;Prensa Francesa;bebida;5;sí
396;Quiche de espinaca;comida;19;no
397;Chocolate caliente;bebida;1,5;no
398;Quiche de espinaca;comida;18;no
399;Ensalada fresca;comida;19,5;sí
400;Croissant;postre;15,5;no
