id_tipo_bebida;Categoría;Bebida;Tamaño;Leche;Calorías;GrasaTotal;GrasaTrans;GrasaSaturada;Sodio;CarbohidratosTotales;Colesterol;FibraDietética;Azúcares;Proteína
26;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Venti;Leche Descremada;280;30;20;0;10;160;54;2;44;170
27;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Venti;Leche 2%;340;110;60;2;30;180;53;2;43;170
28;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Venti;Leche de Soya;290;90;25;0;0;140;47;4;33;140
29;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Corto;Leche Descremada;100;1;1;0;5;70;19;0;18;60
30;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Corto;Leche 2%;130;35;15;1;15;80;18;0;17;60
31;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Corto;Leche de Soya;110;25;3;0;0;60;16;1;13;50
32;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Alto;Leche Descremada;150;2;1;0;5;110;28;0;27;90
33;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Alto;Leche 2%;200;50;25;2;20;125;28;0;27;90
34;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Alto;Leche de Soya;160;40;5;0;0;95;23;1;20;70
35;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Grande;Leche Descremada;200;3;2;0;5;140;37;0;35;120
36;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Grande;Leche 2%;250;60;35;2;25;150;37;0;35;120
37;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Grande;Leche de Soya;210;50;5;0;0;120;31;1;26;90
38;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Venti;Leche Descremada;250;3;2;0;10;180;47;0;45;150
39;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Venti;Leche 2%;320;90;45;3;35;200;46;0;44;150
40;Bebidas Espresso Clásicas;Vanilla Latte (Or Other Flavoured Latte);Venti;Leche de Soya;270;70;10;0;0;160;39;2;33;120
41;Bebidas Espresso Clásicas;Caffe Americano;Corto;Ninguna;5;0;0;0;0;5;1;0;0;4
42;Bebidas Espresso Clásicas;Caffe Americano;Alto;Ninguna;10;0;0;0;0;10;2;0;0;10
43;Bebidas Espresso Clásicas;Caffe Americano;Grande;Ninguna;15;0;0;0;0;15;3;0;0;10
44;Bebidas Espresso Clásicas;Caffe Americano;Venti;Ninguna;25;0;0;0;0;15;4;0;0;10
45;Bebidas Espresso Clásicas;Capuchino;Corto;Leche Descremada;50;1;1;0;5;60;8;0;7;50
46;Bebidas Espresso Clásicas;Capuchino;Corto;Leche 2%;80;30;15;1;10;70;8;0;7;50
47;Bebidas Espresso Clásicas;Capuchino;Corto;Leche de Soya;50;15;2;0;0;40;4;0;3;30
48;Bebidas Espresso Clásicas;Capuchino;Alto;Leche Descremada;60;1;1;0;5;70;9;0;8;60
49;Bebidas Espresso Clásicas;Capuchino;Alto;Leche 2%;90;35;15;1;15;80;9;0;8;60
50;Bebidas Espresso Clásicas;Capuchino;Alto;Leche de Soya;70;30;4;0;0;65;7;1;4;50
51;Bebidas Espresso Clásicas;Capuchino;Grande;Leche Descremada;80;2;1;0;5;90;12;0;10;80
52;Bebidas Espresso Clásicas;Capuchino;Grande;Leche 2%;120;40;20;1;15;100;12;0;10;80
53;Bebidas Espresso Clásicas;Capuchino;Grande;Leche de Soya;100;35;4;0;0;80;9;1;5;70
54;Bebidas Espresso Clásicas;Capuchino;Venti;Leche Descremada;110;2;2;0;5;120;16;0;14;100
55;Bebidas Espresso Clásicas;Capuchino;Venti;Leche 2%;150;60;30;2;25;135;16;0;14;100
56;Bebidas Espresso Clásicas;Capuchino;Venti;Leche de Soya;120;45;5;0;0;110;11;1;7;90
57;Bebidas Espresso Clásicas;Expreso;Single;Ninguna;5;0;0;0;0;0;1;0;0;4
58;Bebidas Espresso Clásicas;Expreso;Double;Ninguna;10;0;0;0;0;1;2;0;0;10
59;Bebidas Espresso Clásicas;Skinny Latte (Any Flavour);Corto;Leche Descremada;60;1;1;0;5;80;9;0;8;60
60;Bebidas Espresso Clásicas;Skinny Latte (Any Flavour);Alto;Leche Descremada;100;2;1;0;5;125;14;0;13;90
61;Bebidas Espresso Clásicas;Skinny Latte (Any Flavour);Grande;Leche Descremada;120;3;2;0;5;160;18;0;16;120
62;Bebidas Espresso Clásicas;Skinny Latte (Any Flavour);Venti;Leche Descremada;160;3;2;0;10;200;24;0;21;150
63;Signature Espresso Drinks;Macchiato de Caramelo;Corto;Leche Descremada;100;10;5;0;5;70;17;0;15;60
64;Signature Espresso Drinks;Macchiato de Caramelo;Corto;Leche 2%;120;40;20;1;15;80;16;0;15;50
65;Signature Espresso Drinks;Macchiato de Caramelo;Corto;Leche de Soya;100;30;10;0;0;60;14;1;11;40
66;Signature Espresso Drinks;Macchiato de Caramelo;Alto;Leche Descremada;140;10;5;0;5;105;25;0;24;80
67;Signature Espresso Drinks;Macchiato de Caramelo;Alto;Leche 2%;180;50;30;1;20;115;25;0;23;80
68;Signature Espresso Drinks;Macchiato de Caramelo;Alto;Leche de Soya;150;45;10;0;0;90;21;1;17;70
69;Signature Espresso Drinks;Macchiato de Caramelo;Grande;Leche Descremada;190;10;10;0;10;130;35;0;32;110
70;Signature Espresso Drinks;Macchiato de Caramelo;Grande;Leche 2%;240;70;35;2;25;150;34;0;32;100
71;Signature Espresso Drinks;Macchiato de Caramelo;Grande;Leche de Soya;200;50;10;0;5;115;29;1;24;90
72;Signature Espresso Drinks;Macchiato de Caramelo;Venti;Leche Descremada;240;10;10;0;10;170;43;0;41;130
73;Signature Espresso Drinks;Macchiato de Caramelo;Venti;Leche 2%;300;80;45;2;35;180;43;0;40;130
74;Signature Espresso Drinks;Macchiato de Caramelo;Venti;Leche de Soya;250;70;15;0;5;140;36;1;31;110
75;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Corto;Leche Descremada;180;30;20;0;5;120;31;0;29;70
76;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Corto;Leche 2%;200;60;35;1;15;125;31;0;29;70
77;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Corto;Leche de Soya;180;50;25;0;0;110;28;1;25;60
78;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Alto;Leche Descremada;270;45;35;0;5;190;47;0;45;120
79;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Alto;Leche 2%;310;90;60;1;20;200;46;0;44;110
80;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Alto;Leche de Soya;280;80;35;0;0;170;42;1;39;100
81;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Grande;Leche Descremada;350;60;45;0;10;240;61;0;58;150
82;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Grande;Leche 2%;400;110;70;2;25;250;61;0;58;150
83;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Grande;Leche de Soya;370;100;50;0;0;220;56;1;51;130
84;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Venti;Leche Descremada;450;70;60;0;10;310;78;0;74;190
85;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Venti;Leche 2%;510;150;90;2;35;330;77;0;74;190
86;Signature Espresso Drinks;White Chocolate Mocha (Without Whipped Cream);Venti;Leche de Soya;460;130;60;0;5;290;70;1;64;160
87;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Corto;Leche Descremada;130;15;10;0;5;70;26;1;23;70
88;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Corto;Leche 2%;150;45;25;1;15;80;26;1;22;70
89;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Corto;Leche de Soya;130;35;10;0;0;60;23;2;18;60
90;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Alto;Leche Descremada;190;20;10;0;5;110;37;1;32;110
91;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Alto;Leche 2%;230;70;35;2;20;120;37;1;32;100
92;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Alto;Leche de Soya;200;60;15;0;0;95;32;2;25;90
93;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Grande;Leche Descremada;240;25;15;0;5;140;48;2;41;140
94;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Grande;Leche 2%;290;90;50;2;25;160;47;2;41;140
95;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Grande;Leche de Soya;250;70;20;0;0;125;41;3;32;120
96;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Venti;Leche Descremada;320;30;20;0;10;180;63;2;55;180
97;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Venti;Leche 2%;380;110;60;3;35;200;63;2;54;170
98;Signature Espresso Drinks;Hot Chocolate (Without Whipped Cream);Venti;Leche de Soya;330;90;25;0;0;160;55;4;44;150
99;Signature Espresso Drinks;Caramel Apple Spice (Without Whipped Cream);Corto;Ninguna;140;0;0;0;0;10;35;0;33;0
100;Signature Espresso Drinks;Caramel Apple Spice (Without Whipped Cream);Alto;Ninguna;210;0;0;0;0;15;53;0;49;0
101;Signature Espresso Drinks;Caramel Apple Spice (Without Whipped Cream);Grande;Ninguna;280;0;0;0;0;20;70;0;65;0
102;Signature Espresso Drinks;Caramel Apple Spice (Without Whipped Cream);Venti;Ninguna;360;0;0;0;0;25;89;0;83;0
103;Tazo Tea Drinks;Tazo Tea;Corto;Ninguna;0;0;0;0;0;0;0;0;0;0
104;Tazo Tea Drinks;Tazo Tea;Alto;Ninguna;0;0;0;0;0;0;0;0;0;0
105;Tazo Tea Drinks;Tazo Tea;Grande;Ninguna;0;0;0;0;0;0;0;0;0;0
106;Tazo Tea Drinks;Tazo Tea;Venti;Ninguna;0;0;0;0;0;0;0;0;0;0
107;Tazo Tea Drinks;Tazo Chai Tea Latte;Corto;Leche Descremada;100;1;1;0;0;50;22;0;21;40
108;Tazo Tea Drinks;Tazo Chai Tea Latte;Corto;Leche 2%;120;20;10;1;10;55;22;0;21;40
109;Tazo Tea Drinks;Tazo Chai Tea Latte;Corto;Leche de Soya;110;15;2;0;0;45;20;0;18;30
110;Tazo Tea Drinks;Tazo Chai Tea Latte;Alto;Leche Descremada;160;2;1;0;5;80;34;0;32;60
111;Tazo Tea Drinks;Tazo Chai Tea Latte;Alto;Leche 2%;190;35;15;1;15;90;34;0;32;60
112;Tazo Tea Drinks;Tazo Chai Tea Latte;Alto;Leche de Soya;160;25;3;0;0;70;31;1;28;50
113;Tazo Tea Drinks;Tazo Chai Tea Latte;Grande;Leche Descremada;210;2;1;0;5;105;45;0;43;80
114;Tazo Tea Drinks;Tazo Chai Tea Latte;Grande;Leche 2%;240;45;20;1;20;115;45;0;42;80
115;Tazo Tea Drinks;Tazo Chai Tea Latte;Grande;Leche de Soya;220;35;4;0;0;90;41;1;37;60
116;Tazo Tea Drinks;Tazo Chai Tea Latte;Venti;Leche Descremada;260;3;2;0;5;135;57;0;54;100
117;Tazo Tea Drinks;Tazo Chai Tea Latte;Venti;Leche 2%;310;60;30;2;25;150;56;0;53;100
118;Tazo Tea Drinks;Tazo Chai Tea Latte;Venti;Leche de Soya;280;45;5;0;0;115;51;1;46;80
119;Tazo Tea Drinks;Tazo Green Tea Latte;Corto;Leche Descremada;130;2;1;0;5;85;26;0;25;70
120;Tazo Tea Drinks;Tazo Green Tea Latte;Corto;Leche 2%;170;40;20;1;15;95;26;0;25;70
121;Tazo Tea Drinks;Tazo Green Tea Latte;Corto;Leche de Soya;140;30;4;0;0;70;22;1;20;60
122;Tazo Tea Drinks;Tazo Green Tea Latte;Alto;Leche Descremada;210;4;2;0;5;125;42;1;41;110
123;Tazo Tea Drinks;Tazo Green Tea Latte;Alto;Leche 2%;260;60;30;2;25;140;41;1;40;100
124;Tazo Tea Drinks;Tazo Green Tea Latte;Alto;Leche de Soya;230;45;5;0;0;110;36;2;33;90
125;Tazo Tea Drinks;Tazo Green Tea Latte;Grande;Leche Descremada;290;5;2;0;10;160;57;1;56;140
126;Tazo Tea Drinks;Tazo Green Tea Latte;Grande;Leche 2%;350;80;40;2;30;180;57;1;55;140
127;Tazo Tea Drinks;Tazo Green Tea Latte;Grande;Leche de Soya;310;60;10;0;0;140;50;3;46;110
128;Tazo Tea Drinks;Tazo Green Tea Latte;Venti;Leche Descremada;370;5;3;0;10;200;73;2;71;180
129;Tazo Tea Drinks;Tazo Green Tea Latte;Venti;Leche 2%;450;100;50;3;40;230;72;2;71;170
130;Tazo Tea Drinks;Tazo Green Tea Latte;Venti;Leche de Soya;390;80;10;0;0;180;64;4;58;140
131;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Corto;Leche Descremada;80;1;1;0;0;45;16;0;16;40
132;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Corto;Leche 2%;90;20;10;1;10;50;15;0;15;30
133;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Corto;Leche de Soya;80;15;2;0;0;40;14;0;13;30
134;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Alto;Leche Descremada;120;1;1;0;5;65;23;0;23;50
135;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Alto;Leche 2%;140;30;15;1;15;75;23;0;23;50
136;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Alto;Leche de Soya;130;25;3;0;0;60;21;1;19;40
137;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Grande;Leche Descremada;150;2;1;0;5;85;31;0;31;70
138;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Grande;Leche 2%;190;40;20;1;15;95;31;0;30;70
139;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Grande;Leche de Soya;170;35;4;0;0;80;27;1;25;60
140;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Venti;Leche Descremada;190;2;1;0;5;110;39;0;39;90
141;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Venti;Leche 2%;230;50;25;2;20;125;38;0;38;90
142;Tazo Tea Drinks;Tazo Full-Leaf Tea Latte;Venti;Leche de Soya;210;40;5;0;0;100;34;1;32;70
143;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Corto;Leche Descremada;80;1;1;0;0;45;16;0;16;40
144;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Corto;Leche 2%;90;20;10;1;10;50;15;0;15;30
145;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Corto;Leche de Soya;80;15;2;0;0;40;14;0;13;30
146;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Alto;Leche Descremada;120;1;1;0;5;65;23;0;23;50
147;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Alto;Leche 2%;140;30;15;1;15;75;23;0;23;50
148;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Alto;Leche de Soya;130;25;3;0;0;60;21;1;19;40
149;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Grande;Leche Descremada;150;2;1;0;5;85;31;0;31;70
150;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Grande;Leche 2%;190;40;20;1;15;95;31;0;30;70
151;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Grande;Leche de Soya;170;35;4;0;0;80;27;1;25;60
152;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Venti;Leche Descremada;190;2;1;0;5;110;39;0;39;90
153;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Venti;Leche 2%;230;50;25;2;20;125;38;0;38;90
154;Tazo Tea Drinks;Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos);Venti;Leche de Soya;210;40;5;0;0;100;34;1;32;70
155;Shaken Iced Beverages;Iced Brewed Coffee (With Classic Syrup);Alto;Ninguna;60;0;0;0;0;4;15;0;15;2
156;Shaken Iced Beverages;Iced Brewed Coffee (With Classic Syrup);Grande;Ninguna;90;1;0;0;0;5;21;0;21;3
157;Shaken Iced Beverages;Iced Brewed Coffee (With Classic Syrup);Venti;Ninguna;130;1;0;0;0;5;31;0;31;4
158;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Alto;Leche Descremada;80;1;0;0;0;25;18;0;18;20
159;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Alto;Leche 2%;90;10;5;0;5;25;18;0;18;20
160;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Alto;Leche de Soya;80;10;1;0;0;20;17;0;17;20
161;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Grande;Leche Descremada;110;1;0;0;0;30;24;0;24;20
162;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Grande;Leche 2%;120;15;5;0;5;35;24;0;24;20
163;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Grande;Leche de Soya;110;10;1;0;0;30;23;0;22;20
164;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Venti;Leche Descremada;160;1;1;0;0;50;36;0;36;40
165;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Venti;Leche 2%;180;20;10;1;10;55;36;0;36;40
166;Shaken Iced Beverages;Iced Brewed Coffee (With Milk & Classic Syrup);Venti;Leche de Soya;170;15;2;0;0;45;34;0;33;30
167;Shaken Iced Beverages;Shaken Iced Tazo Tea (With Classic Syrup);Alto;Ninguna;60;0;0;0;0;0;15;0;15;0
168;Shaken Iced Beverages;Shaken Iced Tazo Tea (With Classic Syrup);Grande;Ninguna;80;0;0;0;0;0;21;0;21;0
169;Shaken Iced Beverages;Shaken Iced Tazo Tea (With Classic Syrup);Venti;Ninguna;120;0;0;0;0;0;31;0;31;0
170;Shaken Iced Beverages;Shaken Iced Tazo Tea Lemonade (With Classic Syrup);Alto;Ninguna;100;0;0;0;0;0;25;0;24;1
171;Shaken Iced Beverages;Shaken Iced Tazo Tea Lemonade (With Classic Syrup);Grande;Ninguna;130;0;0;0;0;0;33;0;33;1
172;Shaken Iced Beverages;Shaken Iced Tazo Tea Lemonade (With Classic Syrup);Venti;Ninguna;190;0;0;0;0;0;49;0;49;1
173;Smoothies;Banana Chocolate Smoothie;Grande;Leche Descremada;280;25;15;0;5;150;53;7;34;200
174;Smoothies;Banana Chocolate Smoothie;Grande;Leche 2%;300;50;25;1;15;160;53;7;34;200
175;Smoothies;Banana Chocolate Smoothie;Grande;Leche de Soya;290;45;15;0;5;150;51;7;31;190
176;Smoothies;Orange Mango Banana Smoothie;Grande;Leche Descremada;260;10;3;0;5;120;54;6;37;160
177;Smoothies;Orange Mango Banana Smoothie;Grande;Leche 2%;270;15;5;0;5;125;53;6;37;160
178;Smoothies;Orange Mango Banana Smoothie;Grande;Leche de Soya;270;15;4;0;5;120;53;6;36;150
179;Smoothies;Strawberry Banana Smoothie;Grande;Leche Descremada;290;10;3;0;5;125;58;7;41;160
180;Smoothies;Strawberry Banana Smoothie;Grande;Leche 2%;290;20;10;0;5;125;58;7;41;160
181;Smoothies;Strawberry Banana Smoothie;Grande;Leche de Soya;290;20;4;0;5;120;58;8;40;160
182;Frappuccino Café Mezclado;Café;Alto;Leche Descremada;160;1;0;0;0;160;36;0;36;30
183;Frappuccino Café Mezclado;Café;Alto;Leche Entera;180;25;15;1;10;160;36;0;36;30
184;Frappuccino Café Mezclado;Café;Alto;Leche de Soya;160;15;2;0;0;150;35;0;34;20
185;Frappuccino Café Mezclado;Café;Grande;Leche Descremada;220;1;1;0;0;210;51;0;50;40
186;Frappuccino Café Mezclado;Café;Grande;Leche Entera;240;30;20;1;10;220;50;0;50;30
187;Frappuccino Café Mezclado;Café;Grande;Leche de Soya;220;15;2;0;0;210;49;0;47;30
188;Frappuccino Café Mezclado;Café;Venti;Leche Descremada;310;1;1;0;5;300;70;0;69;60
189;Frappuccino Café Mezclado;Café;Venti;Leche Entera;350;50;30;2;15;300;70;0;69;50
190;Frappuccino Café Mezclado;Café;Venti;Leche de Soya;310;25;3;0;0;300;68;1;66;50
191;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Alto;Leche Descremada;180;5;4;0;0;150;42;1;40;30
192;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Alto;Leche Entera;200;30;20;1;10;160;42;1;40;30
193;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Alto;Leche de Soya;180;20;5;0;0;150;40;1;38;30
194;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Grande;Leche Descremada;260;10;5;0;0;220;61;1;58;40
195;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Grande;Leche Entera;290;40;25;1;10;220;61;1;58;40
196;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Grande;Leche de Soya;260;25;5;0;0;220;59;1;55;40
197;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Venti;Leche Descremada;340;10;5;0;5;300;80;1;76;70
198;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Venti;Leche Entera;390;60;35;1;15;300;80;1;76;60
199;Frappuccino Café Mezclado;Mocha (Without Whipped Cream);Venti;Leche de Soya;350;30;10;0;0;290;78;2;73;60
200;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Alto;Leche Descremada;180;1;0;0;0;160;42;0;41;30
201;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Alto;Leche Entera;200;25;15;1;10;160;42;0;41;30
202;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Alto;Leche de Soya;180;15;2;0;0;150;40;0;39;20
203;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Grande;Leche Descremada;280;1;1;0;0;220;60;0;59;40
204;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Grande;Leche Entera;280;35;20;1;10;220;60;0;59;30
205;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Grande;Leche de Soya;260;15;2;0;0;220;58;0;56;30
206;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Venti;Leche Descremada;330;1;1;0;5;290;78;0;77;50
207;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Venti;Leche Entera;370;50;30;1;15;300;78;0;77;50
208;Frappuccino Café Mezclado;Caramel (Without Whipped Cream);Venti;Leche de Soya;340;25;3;0;0;290;75;1;73;50
209;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Alto;Leche Descremada;220;30;20;0;0;170;47;1;44;40
210;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Alto;Leche Entera;240;50;35;1;10;170;47;1;44;40
211;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Alto;Leche de Soya;220;40;25;0;0;170;45;1;42;30
212;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Grande;Leche Descremada;310;40;30;0;0;250;67;2;62;50
213;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Grande;Leche Entera;340;70;50;1;10;250;67;2;62;50
214;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Grande;Leche de Soya;310;60;35;0;0;240;65;2;60;40
215;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Venti;Leche Descremada;420;50;40;0;5;340;90;2;84;70
216;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Venti;Leche Entera;460;100;70;2;15;340;90;2;84;70
217;Frappuccino Café Mezclado;Java Chip (Without Whipped Cream);Venti;Leche de Soya;430;80;45;0;0;330;88;3;80;60
218;Frappuccino Café Ligero Mezclado;Café;Alto;Leche Descremada;90;1;0;0;0;160;20;0;19;30
219;Frappuccino Café Ligero Mezclado;Café;Grande;Leche Descremada;120;1;1;0;0;210;26;0;26;30
220;Frappuccino Café Ligero Mezclado;Café;Venti;Leche Descremada;160;1;1;0;5;270;34;0;33;50
221;Frappuccino Café Ligero Mezclado;Mocha;Alto;Leche Descremada;110;5;4;0;0;150;24;1;23;30
222;Frappuccino Café Ligero Mezclado;Mocha;Grande;Leche Descremada;150;10;5;0;0;200;33;1;30;40
223;Frappuccino Café Ligero Mezclado;Mocha;Venti;Leche Descremada;210;10;5;0;5;280;46;1;42;60
